subscription_id,customer_id,subscription_tier,monthly_revenue,subscription_start_date,subscription_end_date,is_active,payment_method,created_at,updated_at
SUB_000020,CUST_001914,enterprise,99,2022-01-21,,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000021,CUST_000060,basic,29,2022-01-22,2024-07-28,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000022,CUST_001077,enterprise,99,2022-01-23,,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000023,CUST_001703,basic,29,2022-01-24,,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000024,CUST_000537,basic,29,2022-01-25,2024-02-15,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000025,CUST_000847,premium,99,2022-01-26,2024-10-09,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000026,CUST_000987,basic,99,2022-01-27,2025-03-14,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000027,CUST_000064,premium,29,2022-01-28,,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000028,CUST_001635,enterprise,29,2022-01-29,2024-11-14,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000029,CUST_000585,enterprise,29,2022-01-30,2025-05-18,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000030,CUST_001727,basic,29,2022-01-31,2024-06-10,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000031,CUST_000170,premium,299,2022-02-01,2024-06-10,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000032,CUST_001296,basic,99,2022-02-02,2024-02-29,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000033,CUST_001912,premium,29,2022-02-03,,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000034,CUST_001722,premium,99,2022-02-04,,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000035,CUST_000534,premium,29,2022-02-05,2025-07-18,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000036,CUST_001414,enterprise,99,2022-02-06,2025-04-20,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000037,CUST_001963,premium,99,2022-02-07,2024-09-16,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000038,CUST_000692,enterprise,29,2022-02-08,2025-02-22,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000039,CUST_001350,premium,29,2022-02-09,,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000040,CUST_000107,enterprise,99,2022-02-10,,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000041,CUST_001870,enterprise,99,2022-02-11,2024-11-26,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000042,CUST_001185,enterprise,99,2022-02-12,,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000043,CUST_000813,basic,299,2022-02-13,,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000044,CUST_001004,premium,29,2022-02-14,2024-12-24,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000045,CUST_000451,basic,299,2022-02-15,,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000046,CUST_001229,premium,299,2022-02-16,,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000047,CUST_000589,premium,29,2022-02-17,,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000048,CUST_001039,basic,29,2022-02-18,2024-08-16,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000049,CUST_000326,enterprise,299,2022-02-19,2024-11-21,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000050,CUST_000607,premium,29,2022-02-20,,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000051,CUST_000658,enterprise,99,2022-02-21,2024-09-25,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000052,CUST_000001,basic,99,2022-02-22,2024-02-05,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000053,CUST_001033,enterprise,299,2022-02-23,,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000054,CUST_000433,premium,299,2022-02-24,2025-04-07,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000055,CUST_000124,premium,29,2022-02-25,2025-02-19,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000056,CUST_001104,premium,29,2022-02-26,2024-05-27,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000057,CUST_000484,basic,299,2022-02-27,2025-08-18,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000058,CUST_000651,premium,299,2022-02-28,2024-02-11,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000059,CUST_001861,basic,99,2022-03-01,2024-11-19,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000060,CUST_001173,enterprise,99,2022-03-02,2024-04-17,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000061,CUST_000799,premium,29,2022-03-03,,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000062,CUST_000872,premium,99,2022-03-04,2024-04-16,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000063,CUST_001363,premium,29,2022-03-05,2024-04-21,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000064,CUST_000128,enterprise,29,2022-03-06,,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000065,CUST_000437,premium,29,2022-03-07,,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000066,CUST_000750,basic,99,2022-03-08,2025-07-05,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000067,CUST_000500,enterprise,299,2022-03-09,,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000068,CUST_001081,enterprise,299,2022-03-10,2025-06-15,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000069,CUST_001221,enterprise,99,2022-03-11,2025-06-03,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000070,CUST_000210,enterprise,299,2022-03-12,2025-08-11,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000071,CUST_001937,enterprise,29,2022-03-13,,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000072,CUST_000901,basic,299,2022-03-14,,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000073,CUST_000044,enterprise,99,2022-03-15,2024-08-21,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000074,CUST_001120,premium,299,2022-03-16,,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000075,CUST_001302,enterprise,29,2022-03-17,2025-08-21,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000076,CUST_000534,enterprise,29,2022-03-18,,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000077,CUST_001433,enterprise,99,2022-03-19,,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000078,CUST_000460,enterprise,99,2022-03-20,2024-03-05,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000079,CUST_000390,enterprise,99,2022-03-21,2024-11-14,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000080,CUST_001870,basic,29,2022-03-22,2024-12-24,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000081,CUST_001067,basic,299,2022-03-23,,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000082,CUST_000026,enterprise,299,2022-03-24,,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000083,CUST_000793,basic,99,2022-03-25,2024-09-07,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000084,CUST_001120,premium,299,2022-03-26,2025-05-24,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000085,CUST_000974,enterprise,299,2022-03-27,2024-09-06,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000086,CUST_000547,premium,99,2022-03-28,2024-08-05,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000087,CUST_000620,premium,99,2022-03-29,2024-09-01,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000088,CUST_000566,enterprise,29,2022-03-30,2025-05-18,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000089,CUST_000703,premium,29,2022-03-31,2025-07-14,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000090,CUST_001242,premium,29,2022-04-01,2025-05-19,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000091,CUST_000184,premium,29,2022-04-02,,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000092,CUST_001092,enterprise,299,2022-04-03,,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000093,CUST_001852,enterprise,299,2022-04-04,,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000094,CUST_001153,premium,29,2022-04-05,,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000095,CUST_001590,enterprise,29,2022-04-06,2024-05-03,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000096,CUST_001913,enterprise,99,2022-04-07,2025-04-08,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000097,CUST_001632,premium,299,2022-04-08,2024-08-29,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000098,CUST_000847,enterprise,299,2022-04-09,2024-07-07,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000099,CUST_000598,basic,29,2022-04-10,2025-05-18,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000100,CUST_000805,enterprise,299,2022-04-11,,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000101,CUST_001654,basic,99,2022-04-12,,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000102,CUST_001743,premium,99,2022-04-13,2024-10-27,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000103,CUST_001357,enterprise,299,2022-04-14,2025-07-06,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000104,CUST_001948,premium,29,2022-04-15,2024-04-04,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000105,CUST_001177,premium,299,2022-04-16,2024-10-28,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000106,CUST_001570,premium,99,2022-04-17,2025-01-26,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000107,CUST_000078,premium,29,2022-04-18,,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000108,CUST_000578,premium,299,2022-04-19,,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000109,CUST_001878,enterprise,29,2022-04-20,2024-08-03,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000110,CUST_000412,basic,29,2022-04-21,,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000111,CUST_000545,enterprise,99,2022-04-22,2024-07-19,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000112,CUST_001632,enterprise,29,2022-04-23,2025-07-13,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000113,CUST_000168,enterprise,299,2022-04-24,2024-02-26,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000114,CUST_000680,enterprise,29,2022-04-25,2025-03-13,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000115,CUST_001686,basic,29,2022-04-26,,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000116,CUST_000582,enterprise,299,2022-04-27,2024-10-18,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000117,CUST_000514,premium,99,2022-04-28,,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000118,CUST_001337,enterprise,99,2022-04-29,2024-09-23,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000119,CUST_000031,enterprise,299,2022-04-30,2024-11-11,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000120,CUST_000286,basic,299,2022-05-01,2025-02-09,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000121,CUST_000593,basic,99,2022-05-02,2024-04-15,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000122,CUST_001066,premium,29,2022-05-03,2024-11-15,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000123,CUST_001926,enterprise,299,2022-05-04,2025-02-22,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000124,CUST_000616,enterprise,29,2022-05-05,,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000125,CUST_001024,enterprise,299,2022-05-06,2025-08-16,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000126,CUST_001596,premium,99,2022-05-07,2024-02-07,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000127,CUST_000269,basic,29,2022-05-08,,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000128,CUST_001203,premium,29,2022-05-09,2025-02-08,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000129,CUST_001759,enterprise,299,2022-05-10,2024-08-10,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000130,CUST_000517,basic,29,2022-05-11,,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000131,CUST_001126,basic,299,2022-05-12,,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000132,CUST_001033,premium,99,2022-05-13,2025-08-03,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000133,CUST_000582,basic,29,2022-05-14,2025-04-05,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000134,CUST_001113,basic,299,2022-05-15,2024-05-30,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000135,CUST_000225,enterprise,29,2022-05-16,,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000136,CUST_000669,enterprise,299,2022-05-17,2024-07-11,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000137,CUST_001763,basic,299,2022-05-18,,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000138,CUST_000916,basic,299,2022-05-19,2025-01-01,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000139,CUST_000125,premium,99,2022-05-20,2024-07-21,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000140,CUST_000955,premium,29,2022-05-21,,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000141,CUST_001232,basic,99,2022-05-22,,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000142,CUST_001120,enterprise,299,2022-05-23,,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000143,CUST_000073,basic,299,2022-05-24,2025-08-09,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000144,CUST_001650,basic,99,2022-05-25,2025-04-27,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000145,CUST_001214,enterprise,99,2022-05-26,,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000146,CUST_001705,enterprise,29,2022-05-27,2024-07-26,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000147,CUST_001842,premium,299,2022-05-28,,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000148,CUST_001983,premium,99,2022-05-29,2024-11-21,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000149,CUST_001739,premium,299,2022-05-30,2024-08-11,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000150,CUST_000055,premium,299,2022-05-31,,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000151,CUST_000719,enterprise,29,2022-06-01,,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000152,CUST_000552,basic,29,2022-06-02,2024-09-07,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000153,CUST_000031,premium,29,2022-06-03,2025-01-17,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000154,CUST_001550,premium,99,2022-06-04,2025-06-07,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000155,CUST_000573,enterprise,299,2022-06-05,2024-05-26,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000156,CUST_000666,enterprise,99,2022-06-06,,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000157,CUST_000283,basic,99,2022-06-07,2024-11-20,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000158,CUST_001744,basic,29,2022-06-08,,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000159,CUST_001855,enterprise,299,2022-06-09,,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000160,CUST_001517,premium,299,2022-06-10,2024-03-06,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000161,CUST_000186,premium,29,2022-06-11,2024-09-19,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000162,CUST_000497,premium,299,2022-06-12,,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000163,CUST_001465,basic,29,2022-06-13,2025-03-31,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000164,CUST_000129,premium,99,2022-06-14,2024-04-30,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000165,CUST_000638,premium,99,2022-06-15,2025-05-14,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000166,CUST_001315,enterprise,29,2022-06-16,,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000167,CUST_000113,premium,99,2022-06-17,2024-12-28,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000168,CUST_001222,enterprise,99,2022-06-18,,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000169,CUST_000012,premium,29,2022-06-19,2024-09-14,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000170,CUST_001294,basic,99,2022-06-20,2025-03-19,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000171,CUST_001624,premium,299,2022-06-21,2025-03-09,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000172,CUST_001238,premium,99,2022-06-22,2025-03-02,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000173,CUST_000443,enterprise,29,2022-06-23,2025-06-18,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000174,CUST_001813,enterprise,299,2022-06-24,,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000175,CUST_001535,enterprise,299,2022-06-25,2024-02-02,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000176,CUST_000446,premium,99,2022-06-26,2024-09-10,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000177,CUST_000985,premium,299,2022-06-27,2025-02-18,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000178,CUST_000992,basic,29,2022-06-28,,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000179,CUST_000714,premium,299,2022-06-29,,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000180,CUST_000073,basic,99,2022-06-30,2025-03-02,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000181,CUST_000536,enterprise,99,2022-07-01,2024-12-29,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000182,CUST_000100,enterprise,299,2022-07-02,2024-02-02,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000183,CUST_000175,enterprise,29,2022-07-03,,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000184,CUST_000426,basic,29,2022-07-04,2025-06-08,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000185,CUST_001140,premium,99,2022-07-05,,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000186,CUST_001189,enterprise,99,2022-07-06,2024-03-22,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000187,CUST_000040,premium,29,2022-07-07,,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000188,CUST_000428,premium,299,2022-07-08,,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000189,CUST_000343,enterprise,299,2022-07-09,2025-05-08,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000190,CUST_001447,basic,299,2022-07-10,2024-09-24,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000191,CUST_000365,premium,299,2022-07-11,2025-07-13,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000192,CUST_001143,enterprise,29,2022-07-12,2024-07-26,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000193,CUST_000608,premium,99,2022-07-13,2024-12-02,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000194,CUST_000656,premium,99,2022-07-14,2025-01-20,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000195,CUST_000727,premium,299,2022-07-15,,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000196,CUST_000228,premium,29,2022-07-16,,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000197,CUST_000824,premium,29,2022-07-17,2024-12-25,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000198,CUST_001153,basic,299,2022-07-18,,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
