interaction_id,customer_id,interaction_date,interaction_type,category,priority,resolution_time_hours,satisfaction_score,resolved
INT_000039,CUST_000026,2023-06-02 15:00:00,chat,onboarding,medium,5.330414819594402,3,True
INT_000040,CUST_001542,2023-06-02 16:00:00,phone,onboarding,low,5.660810772145285,5,True
INT_000041,CUST_000551,2023-06-02 17:00:00,chat,technical,high,3.5544306076760184,1,False
INT_000042,CUST_000448,2023-06-02 18:00:00,chat,billing,low,2.8819100944189207,5,True
INT_000043,CUST_001347,2023-06-02 19:00:00,email,billing,low,4.388196589550118,3,False
INT_000044,CUST_001423,2023-06-02 20:00:00,chat,technical,medium,16.538054163867862,5,False
INT_000045,CUST_000666,2023-06-02 21:00:00,chat,billing,high,11.461708794492838,5,False
INT_000046,CUST_000582,2023-06-02 22:00:00,chat,technical,high,26.034580703700723,2,False
INT_000047,CUST_000048,2023-06-02 23:00:00,email,billing,medium,6.8091798952935845,3,True
INT_000048,CUST_001809,2023-06-03 00:00:00,phone,account,low,16.41339362537768,1,True
INT_000049,CUST_000320,2023-06-03 01:00:00,chat,account,low,2.2251809692024898,1,True
INT_000050,CUST_000952,2023-06-03 02:00:00,chat,billing,medium,0.6789854678256209,2,False
INT_000051,CUST_001151,2023-06-03 03:00:00,chat,account,high,2.9705048729235544,5,False
INT_000052,CUST_000192,2023-06-03 04:00:00,chat,onboarding,high,18.012524519304776,2,True
INT_000053,CUST_001995,2023-06-03 05:00:00,chat,account,medium,34.181404837762564,4,False
INT_000054,CUST_001323,2023-06-03 06:00:00,chat,onboarding,low,12.284431066869143,1,False
INT_000055,CUST_001034,2023-06-03 07:00:00,chat,technical,medium,5.299358964053238,1,True
INT_000056,CUST_000965,2023-06-03 08:00:00,email,technical,high,17.00175121417834,2,False
INT_000057,CUST_000662,2023-06-03 09:00:00,phone,onboarding,high,10.315305588319902,4,False
INT_000058,CUST_000826,2023-06-03 10:00:00,email,technical,high,0.9505927583376581,5,False
INT_000059,CUST_000951,2023-06-03 11:00:00,email,onboarding,high,27.15120001023657,5,True
INT_000060,CUST_000774,2023-06-03 12:00:00,chat,technical,medium,1.5071415726011703,5,True
INT_000061,CUST_000938,2023-06-03 13:00:00,phone,onboarding,low,6.094565462628054,4,True
INT_000062,CUST_000829,2023-06-03 14:00:00,chat,billing,medium,43.59467404213716,2,False
INT_000063,CUST_001699,2023-06-03 15:00:00,chat,onboarding,medium,3.6687259224754736,2,True
INT_000064,CUST_000058,2023-06-03 16:00:00,email,account,low,1.5174458575775183,3,True
INT_000065,CUST_001199,2023-06-03 17:00:00,email,onboarding,high,11.974971853384357,1,False
INT_000066,CUST_001137,2023-06-03 18:00:00,phone,billing,low,4.326268644653848,4,False
INT_000067,CUST_001738,2023-06-03 19:00:00,chat,onboarding,high,8.100914946503758,3,False
INT_000068,CUST_000564,2023-06-03 20:00:00,chat,billing,high,21.184343513127367,5,True
INT_000069,CUST_001072,2023-06-03 21:00:00,phone,billing,medium,1.8084350919554386,2,True
INT_000070,CUST_000939,2023-06-03 22:00:00,email,technical,low,7.03455166575926,4,False
INT_000071,CUST_001006,2023-06-03 23:00:00,email,technical,medium,1.2597295167683131,5,True
INT_000072,CUST_000896,2023-06-04 00:00:00,phone,technical,low,7.736820112252354,4,False
INT_000073,CUST_001769,2023-06-04 01:00:00,email,billing,low,18.927433901352074,3,False
INT_000074,CUST_000819,2023-06-04 02:00:00,email,account,medium,11.603196258165731,5,True
INT_000075,CUST_000149,2023-06-04 03:00:00,phone,technical,low,2.1159590629054894,1,True
INT_000076,CUST_001982,2023-06-04 04:00:00,email,onboarding,low,10.98750171465108,5,True
INT_000077,CUST_000094,2023-06-04 05:00:00,email,billing,low,6.203948905373559,3,False
INT_000078,CUST_000845,2023-06-04 06:00:00,phone,onboarding,low,4.553973000850913,3,False
INT_000079,CUST_000969,2023-06-04 07:00:00,phone,onboarding,low,2.1140083158539804,1,False
INT_000080,CUST_000172,2023-06-04 08:00:00,chat,billing,medium,3.4658597412855228,5,True
INT_000081,CUST_000630,2023-06-04 09:00:00,chat,technical,low,0.37841565769373026,4,False
INT_000082,CUST_001507,2023-06-04 10:00:00,chat,billing,low,22.442443269455403,1,False
INT_000083,CUST_000754,2023-06-04 11:00:00,chat,technical,medium,3.744158348367505,2,True
INT_000084,CUST_000928,2023-06-04 12:00:00,phone,billing,medium,22.96027456656352,3,True
INT_000085,CUST_001016,2023-06-04 13:00:00,email,technical,medium,28.70482277483721,1,True
INT_000086,CUST_001960,2023-06-04 14:00:00,email,account,low,12.069424737218036,1,True
INT_000087,CUST_000961,2023-06-04 15:00:00,phone,billing,medium,8.933201001697203,4,False
INT_000088,CUST_001038,2023-06-04 16:00:00,email,account,low,20.19002927732636,3,False
INT_000089,CUST_001355,2023-06-04 17:00:00,phone,account,high,0.810975896647444,3,True
INT_000090,CUST_000519,2023-06-04 18:00:00,email,technical,low,9.589084583147104,4,True
INT_000091,CUST_001832,2023-06-04 19:00:00,email,technical,medium,25.81087964826014,3,True
INT_000092,CUST_000869,2023-06-04 20:00:00,phone,technical,medium,22.624971500221626,3,False
INT_000093,CUST_000081,2023-06-04 21:00:00,chat,onboarding,medium,14.710862424874342,3,True
INT_000094,CUST_001292,2023-06-04 22:00:00,chat,account,medium,2.7880512576288923,1,True
INT_000095,CUST_001882,2023-06-04 23:00:00,chat,billing,high,11.087278499010464,5,False
INT_000096,CUST_001947,2023-06-05 00:00:00,chat,billing,high,22.61955411597704,5,True
INT_000097,CUST_000130,2023-06-05 01:00:00,email,technical,medium,4.430190196082176,3,True
INT_000098,CUST_001195,2023-06-05 02:00:00,chat,billing,medium,10.295861603698837,5,True
INT_000099,CUST_000861,2023-06-05 03:00:00,email,onboarding,medium,5.329077186244583,5,True
INT_000100,CUST_001496,2023-06-05 04:00:00,chat,account,high,23.358731588246755,1,False
INT_000101,CUST_001764,2023-06-05 05:00:00,phone,billing,high,2.701842451917993,5,True
INT_000102,CUST_001434,2023-06-05 06:00:00,email,billing,low,3.300949710612689,4,False
INT_000103,CUST_001550,2023-06-05 07:00:00,email,technical,medium,11.42372784379492,4,False
INT_000104,CUST_000691,2023-06-05 08:00:00,email,technical,low,0.1661203644944012,4,False
INT_000105,CUST_000380,2023-06-05 09:00:00,email,technical,medium,3.279990823324634,5,True
INT_000106,CUST_001509,2023-06-05 10:00:00,email,onboarding,low,3.4034971295561744,4,True
INT_000107,CUST_001137,2023-06-05 11:00:00,phone,account,high,12.048139482682394,3,True
INT_000108,CUST_000055,2023-06-05 12:00:00,email,billing,high,7.076398327595413,4,True
INT_000109,CUST_001994,2023-06-05 13:00:00,chat,account,high,0.6300457562532449,1,True
INT_000110,CUST_001247,2023-06-05 14:00:00,chat,billing,medium,5.601982264211895,3,False
INT_000111,CUST_001158,2023-06-05 15:00:00,phone,technical,medium,47.44773323212588,5,True
INT_000112,CUST_000592,2023-06-05 16:00:00,phone,onboarding,high,22.41767884282135,1,False
INT_000113,CUST_001224,2023-06-05 17:00:00,email,onboarding,high,16.92616228712193,5,False
INT_000114,CUST_000358,2023-06-05 18:00:00,phone,onboarding,high,9.664891305434466,2,False
INT_000115,CUST_001309,2023-06-05 19:00:00,chat,billing,high,1.3559640542526894,3,False
INT_000116,CUST_001777,2023-06-05 20:00:00,phone,technical,low,22.93850254940191,3,False
INT_000117,CUST_000929,2023-06-05 21:00:00,phone,billing,medium,4.459722485286007,4,False
INT_000118,CUST_001986,2023-06-05 22:00:00,chat,technical,high,1.866354450636113,5,False
INT_000119,CUST_000633,2023-06-05 23:00:00,email,onboarding,low,1.482341082516755,4,False
INT_000120,CUST_000298,2023-06-06 00:00:00,chat,technical,high,18.79179214369679,3,True
INT_000121,CUST_000045,2023-06-06 01:00:00,phone,onboarding,high,10.070615389660524,2,False
INT_000122,CUST_001646,2023-06-06 02:00:00,chat,account,medium,1.1378239978795128,1,False
INT_000123,CUST_000732,2023-06-06 03:00:00,email,billing,low,18.865546438111174,2,True
INT_000124,CUST_000771,2023-06-06 04:00:00,email,technical,medium,2.9490657615006404,4,False
INT_000125,CUST_001145,2023-06-06 05:00:00,email,technical,high,9.12022295619881,5,False
INT_000126,CUST_001623,2023-06-06 06:00:00,chat,billing,low,32.30026973338755,5,True
INT_000127,CUST_000685,2023-06-06 07:00:00,phone,technical,low,15.617000365144014,3,False
INT_000128,CUST_001180,2023-06-06 08:00:00,chat,billing,medium,11.17215552932329,1,False
INT_000129,CUST_001425,2023-06-06 09:00:00,chat,technical,low,14.68728833088276,2,True
INT_000130,CUST_001452,2023-06-06 10:00:00,email,billing,high,7.736460740466837,1,False
INT_000131,CUST_000356,2023-06-06 11:00:00,email,account,medium,5.230624379624919,3,False
INT_000132,CUST_001850,2023-06-06 12:00:00,email,account,medium,0.17597927017636045,2,True
INT_000133,CUST_000166,2023-06-06 13:00:00,chat,account,low,0.0012657404461968304,1,False
INT_000134,CUST_000656,2023-06-06 14:00:00,chat,technical,low,26.100690528493637,5,False
INT_000135,CUST_000294,2023-06-06 15:00:00,email,billing,high,1.0764763172557363,3,False
INT_000136,CUST_000308,2023-06-06 16:00:00,phone,onboarding,medium,9.107620899641015,5,False
INT_000137,CUST_001922,2023-06-06 17:00:00,email,onboarding,low,8.375786764565031,1,False
INT_000138,CUST_000718,2023-06-06 18:00:00,chat,billing,low,9.178452744955969,5,True
INT_000139,CUST_001481,2023-06-06 19:00:00,chat,account,medium,7.037279734918944,3,True
INT_000140,CUST_000369,2023-06-06 20:00:00,chat,onboarding,medium,29.262341255354414,1,False
INT_000141,CUST_000153,2023-06-06 21:00:00,chat,technical,medium,4.30529476104906,5,False
INT_000142,CUST_001511,2023-06-06 22:00:00,phone,onboarding,medium,3.674211133745375,2,False
INT_000143,CUST_001102,2023-06-06 23:00:00,email,onboarding,low,4.5220724326159365,4,True
INT_000144,CUST_001187,2023-06-07 00:00:00,email,onboarding,medium,2.3090117011951077,3,True
INT_000145,CUST_001803,2023-06-07 01:00:00,phone,onboarding,medium,12.829210719817006,5,True
INT_000146,CUST_001691,2023-06-07 02:00:00,phone,technical,high,4.2522755613138825,4,True
INT_000147,CUST_000337,2023-06-07 03:00:00,chat,billing,low,0.6404388448806899,1,True
INT_000148,CUST_001529,2023-06-07 04:00:00,phone,technical,medium,1.24240786950008,1,False
INT_000149,CUST_000499,2023-06-07 05:00:00,chat,billing,low,14.674227456058853,3,False
INT_000150,CUST_000898,2023-06-07 06:00:00,email,account,medium,1.0143787850413233,2,True
INT_000151,CUST_000409,2023-06-07 07:00:00,email,account,high,2.3881957890662213,2,False
INT_000152,CUST_000922,2023-06-07 08:00:00,chat,onboarding,medium,4.70629572699935,1,False
INT_000153,CUST_001648,2023-06-07 09:00:00,email,onboarding,medium,15.783820280823438,5,False
INT_000154,CUST_001726,2023-06-07 10:00:00,chat,billing,high,0.7878323356710004,3,True
INT_000155,CUST_000143,2023-06-07 11:00:00,email,billing,high,2.1671254790849237,4,False
INT_000156,CUST_001336,2023-06-07 12:00:00,phone,billing,medium,2.21861739364278,3,False
INT_000157,CUST_001709,2023-06-07 13:00:00,chat,onboarding,medium,6.259317595755528,5,False
INT_000158,CUST_000083,2023-06-07 14:00:00,chat,account,low,5.155135031421082,4,False
INT_000159,CUST_001882,2023-06-07 15:00:00,email,account,medium,16.37445924502597,5,True
INT_000160,CUST_001170,2023-06-07 16:00:00,chat,technical,high,3.237588955067405,2,True
INT_000161,CUST_000763,2023-06-07 17:00:00,email,technical,medium,1.346731094948759,5,False
INT_000162,CUST_001027,2023-06-07 18:00:00,chat,technical,high,2.7216674404266286,5,True
INT_000163,CUST_001062,2023-06-07 19:00:00,chat,technical,low,3.7798549740090035,1,True
INT_000164,CUST_000233,2023-06-07 20:00:00,email,onboarding,low,8.862319925362828,5,False
INT_000165,CUST_000560,2023-06-07 21:00:00,chat,technical,high,4.886787837072382,1,True
INT_000166,CUST_000114,2023-06-07 22:00:00,email,billing,low,2.5016221570912176,1,True
INT_000167,CUST_000186,2023-06-07 23:00:00,email,account,low,1.1518608581217527,4,False
INT_000168,CUST_000740,2023-06-08 00:00:00,email,account,low,8.855837591092087,4,False
INT_000169,CUST_001785,2023-06-08 01:00:00,email,account,medium,27.739961676264006,3,True
INT_000170,CUST_000544,2023-06-08 02:00:00,phone,billing,medium,2.331716564272757,1,False
INT_000171,CUST_000448,2023-06-08 03:00:00,email,account,low,1.3446125286022124,2,False
INT_000172,CUST_000572,2023-06-08 04:00:00,phone,billing,medium,23.821687412872258,5,False
INT_000173,CUST_000577,2023-06-08 05:00:00,chat,billing,low,9.050644611093864,1,True
INT_000174,CUST_001454,2023-06-08 06:00:00,chat,technical,high,4.477030720018372,5,True
INT_000175,CUST_000184,2023-06-08 07:00:00,chat,billing,medium,0.615137565545159,4,True
INT_000176,CUST_001771,2023-06-08 08:00:00,phone,technical,medium,14.173446101856605,4,False
INT_000177,CUST_000671,2023-06-08 09:00:00,chat,technical,medium,12.65944943245227,4,False
INT_000178,CUST_000697,2023-06-08 10:00:00,email,onboarding,high,22.775715064229736,5,False
INT_000179,CUST_001709,2023-06-08 11:00:00,phone,onboarding,low,8.39802754295034,5,False
INT_000180,CUST_000856,2023-06-08 12:00:00,email,billing,high,3.8286390978246096,5,True
INT_000181,CUST_001011,2023-06-08 13:00:00,chat,billing,medium,1.8391919671480212,5,True
INT_000182,CUST_001102,2023-06-08 14:00:00,chat,billing,medium,2.4968957760230306,4,True
INT_000183,CUST_000613,2023-06-08 15:00:00,phone,account,high,7.188796048715651,3,True
INT_000184,CUST_001975,2023-06-08 16:00:00,chat,billing,medium,18.807389928988652,1,False
INT_000185,CUST_000892,2023-06-08 17:00:00,chat,technical,high,23.190728290579106,1,False
INT_000186,CUST_001968,2023-06-08 18:00:00,phone,technical,low,6.637351221800294,5,True
INT_000187,CUST_000865,2023-06-08 19:00:00,phone,billing,low,0.3991887175104855,5,False
INT_000188,CUST_000690,2023-06-08 20:00:00,email,billing,low,1.2579024440828965,5,True
INT_000189,CUST_000845,2023-06-08 21:00:00,chat,account,low,30.014607588445422,3,False
INT_000190,CUST_000748,2023-06-08 22:00:00,phone,account,high,2.6030064796571173,4,True
INT_000191,CUST_001954,2023-06-08 23:00:00,chat,technical,medium,17.09204777190227,4,False
INT_000192,CUST_001065,2023-06-09 00:00:00,email,onboarding,medium,26.446881535671302,4,False
INT_000193,CUST_001702,2023-06-09 01:00:00,phone,technical,medium,27.805990176182966,3,True
INT_000194,CUST_001533,2023-06-09 02:00:00,phone,account,medium,1.0567854299393629,5,True
INT_000195,CUST_001672,2023-06-09 03:00:00,chat,onboarding,high,1.8437701600473044,5,False
INT_000196,CUST_000485,2023-06-09 04:00:00,chat,billing,high,6.1741693642773825,2,True
INT_000197,CUST_000686,2023-06-09 05:00:00,phone,account,high,3.8450299874171616,1,True
INT_000198,CUST_001566,2023-06-09 06:00:00,phone,account,medium,4.547255825137795,4,True
INT_000199,CUST_001270,2023-06-09 07:00:00,email,technical,low,7.413319430000199,1,False
INT_000200,CUST_000911,2023-06-09 08:00:00,phone,account,low,27.37223124948336,5,False
INT_000201,CUST_001256,2023-06-09 09:00:00,phone,onboarding,low,6.7031830449632075,1,False
INT_000202,CUST_000569,2023-06-09 10:00:00,chat,account,low,5.723930517911002,3,False
INT_000203,CUST_000097,2023-06-09 11:00:00,phone,account,medium,10.69427639072525,3,True
INT_000204,CUST_000854,2023-06-09 12:00:00,chat,technical,high,1.5100405877420076,4,False
INT_000205,CUST_000628,2023-06-09 13:00:00,phone,account,medium,6.557470303620924,2,False
INT_000206,CUST_000529,2023-06-09 14:00:00,phone,onboarding,high,12.84532895849867,5,False
INT_000207,CUST_001545,2023-06-09 15:00:00,phone,billing,high,8.986189438632845,4,True
INT_000208,CUST_001928,2023-06-09 16:00:00,email,billing,high,13.938525826913713,1,False
INT_000209,CUST_001661,2023-06-09 17:00:00,email,billing,low,21.69764534848209,2,False
INT_000210,CUST_000304,2023-06-09 18:00:00,email,technical,low,5.790436796133685,1,True
INT_000211,CUST_000788,2023-06-09 19:00:00,email,onboarding,low,12.796911919777664,2,False
INT_000212,CUST_000018,2023-06-09 20:00:00,phone,onboarding,high,5.2149957451912154,5,True
INT_000213,CUST_001738,2023-06-09 21:00:00,email,onboarding,high,20.328521092332522,5,True
INT_000214,CUST_000646,2023-06-09 22:00:00,chat,billing,high,5.714745378505549,5,True
INT_000215,CUST_001151,2023-06-09 23:00:00,email,account,low,11.332792816995482,1,True
INT_000216,CUST_001155,2023-06-10 00:00:00,phone,account,low,0.07381253060035153,1,False
INT_000217,CUST_001105,2023-06-10 01:00:00,chat,billing,high,5.080533415525147,1,True
INT_000218,CUST_001581,2023-06-10 02:00:00,phone,account,medium,7.999360333640512,5,True
INT_000219,CUST_000016,2023-06-10 03:00:00,phone,billing,high,10.248302180536072,5,False
INT_000220,CUST_000796,2023-06-10 04:00:00,phone,technical,low,1.9473884447362386,5,True
INT_000221,CUST_001051,2023-06-10 05:00:00,phone,onboarding,low,10.087694571964757,5,True
INT_000222,CUST_001762,2023-06-10 06:00:00,phone,onboarding,medium,13.78202008416008,5,False
INT_000223,CUST_000539,2023-06-10 07:00:00,phone,onboarding,low,3.286324520937124,2,False
INT_000224,CUST_001896,2023-06-10 08:00:00,chat,technical,high,4.3590152611800885,4,True
INT_000225,CUST_000643,2023-06-10 09:00:00,chat,technical,high,24.097128480465607,1,False
INT_000226,CUST_001995,2023-06-10 10:00:00,chat,technical,high,2.5155230777850583,3,False
INT_000227,CUST_001117,2023-06-10 11:00:00,phone,technical,low,4.577642966595047,3,True
INT_000228,CUST_000755,2023-06-10 12:00:00,email,technical,low,12.776725174288364,5,False
INT_000229,CUST_000003,2023-06-10 13:00:00,chat,billing,low,2.166732086475,1,True
INT_000230,CUST_001508,2023-06-10 14:00:00,email,technical,high,7.041097771920183,5,True
INT_000231,CUST_000878,2023-06-10 15:00:00,email,billing,high,13.703565988820074,5,False
INT_000232,CUST_000906,2023-06-10 16:00:00,phone,account,high,0.6694343264248992,4,False
INT_000233,CUST_000704,2023-06-10 17:00:00,phone,account,low,2.7800327684337423,1,False
INT_000234,CUST_001529,2023-06-10 18:00:00,chat,onboarding,high,8.479669626560373,3,False
INT_000235,CUST_000816,2023-06-10 19:00:00,chat,onboarding,medium,2.9840615974128353,4,False
INT_000236,CUST_000931,2023-06-10 20:00:00,chat,onboarding,low,16.906085959981944,4,True
INT_000237,CUST_001386,2023-06-10 21:00:00,chat,billing,high,11.123111061672827,1,False
INT_000238,CUST_000569,2023-06-10 22:00:00,phone,technical,medium,7.453340421694588,5,True
INT_000239,CUST_001933,2023-06-10 23:00:00,phone,technical,medium,1.5692872983942154,4,False
INT_000240,CUST_000086,2023-06-11 00:00:00,email,technical,low,11.269936137633461,5,False
INT_000241,CUST_000601,2023-06-11 01:00:00,email,billing,medium,1.8227380731346727,4,True
INT_000242,CUST_001102,2023-06-11 02:00:00,phone,billing,medium,27.77335782012793,2,False
INT_000243,CUST_000958,2023-06-11 03:00:00,chat,billing,high,0.7696853083436,2,True
INT_000244,CUST_001538,2023-06-11 04:00:00,phone,technical,low,5.163743618359529,5,True
INT_000245,CUST_001694,2023-06-11 05:00:00,phone,technical,medium,3.3372140665052052,3,True
INT_000246,CUST_000619,2023-06-11 06:00:00,chat,billing,low,11.038534068347317,1,False
INT_000247,CUST_001879,2023-06-11 07:00:00,phone,technical,low,11.097522093026768,5,True
INT_000248,CUST_000177,2023-06-11 08:00:00,phone,billing,low,13.96104039155549,3,False
INT_000249,CUST_000310,2023-06-11 09:00:00,email,onboarding,low,15.143321356643638,4,True
INT_000250,CUST_001248,2023-06-11 10:00:00,email,technical,low,2.586993408996814,5,True
INT_000251,CUST_000702,2023-06-11 11:00:00,email,technical,medium,10.219621104166553,5,False
INT_000252,CUST_001594,2023-06-11 12:00:00,email,onboarding,low,2.5380742987349816,3,True
INT_000253,CUST_000794,2023-06-11 13:00:00,chat,onboarding,low,8.43211984195139,2,False
INT_000254,CUST_000024,2023-06-11 14:00:00,phone,billing,high,6.489722039793785,4,False
INT_000255,CUST_001615,2023-06-11 15:00:00,phone,onboarding,low,15.599536918939716,2,True
INT_000256,CUST_000645,2023-06-11 16:00:00,email,account,medium,3.8887134788807654,5,True
INT_000257,CUST_001673,2023-06-11 17:00:00,phone,account,low,0.37218656683213247,4,True
INT_000258,CUST_001790,2023-06-11 18:00:00,phone,onboarding,high,4.611125260840347,4,True
INT_000259,CUST_000537,2023-06-11 19:00:00,email,technical,low,18.494715053325255,1,False
INT_000260,CUST_000773,2023-06-11 20:00:00,chat,technical,medium,5.942501003132923,5,True
INT_000261,CUST_001428,2023-06-11 21:00:00,phone,technical,high,17.050382675975023,5,True
INT_000262,CUST_000895,2023-06-11 22:00:00,chat,onboarding,medium,2.8985085503521635,5,False
INT_000263,CUST_001001,2023-06-11 23:00:00,phone,billing,high,2.8136434874747387,5,False
INT_000264,CUST_001045,2023-06-12 00:00:00,phone,account,low,3.082099169838957,5,True
INT_000265,CUST_001966,2023-06-12 01:00:00,email,billing,medium,13.428048758653926,2,True
INT_000266,CUST_001864,2023-06-12 02:00:00,phone,onboarding,low,7.884084081127992,1,True
INT_000267,CUST_001447,2023-06-12 03:00:00,email,technical,low,12.365345118966397,1,False
INT_000268,CUST_000558,2023-06-12 04:00:00,email,technical,low,4.741967740337341,3,False
INT_000269,CUST_001234,2023-06-12 05:00:00,chat,account,low,5.936012565183756,3,False
INT_000270,CUST_001957,2023-06-12 06:00:00,chat,onboarding,high,6.436067089528609,5,True
INT_000271,CUST_000283,2023-06-12 07:00:00,email,technical,high,6.850445963801672,1,True
INT_000272,CUST_001228,2023-06-12 08:00:00,phone,billing,low,3.433712903435377,3,False
INT_000273,CUST_001331,2023-06-12 09:00:00,phone,technical,medium,11.445449220302065,4,True
INT_000274,CUST_001494,2023-06-12 10:00:00,phone,technical,medium,7.757150715162469,3,True
INT_000275,CUST_000220,2023-06-12 11:00:00,email,account,medium,9.945499424435315,1,True
INT_000276,CUST_000011,2023-06-12 12:00:00,phone,billing,medium,1.0672912602161302,2,True
INT_000277,CUST_000919,2023-06-12 13:00:00,phone,onboarding,high,1.322684113718845,3,True
INT_000278,CUST_000023,2023-06-12 14:00:00,phone,billing,high,5.082240235922928,2,False
INT_000279,CUST_001988,2023-06-12 15:00:00,chat,technical,low,9.581885289265184,1,True
INT_000280,CUST_001916,2023-06-12 16:00:00,phone,technical,medium,3.3948898051479386,2,False
INT_000281,CUST_001900,2023-06-12 17:00:00,chat,billing,low,1.257043908053506,2,True
INT_000282,CUST_000136,2023-06-12 18:00:00,chat,account,high,12.99015528654657,2,False
INT_000283,CUST_000365,2023-06-12 19:00:00,email,onboarding,medium,15.635776378970828,3,False
INT_000284,CUST_000352,2023-06-12 20:00:00,phone,technical,medium,10.36391604582825,5,True
INT_000285,CUST_001442,2023-06-12 21:00:00,phone,account,medium,4.060500914102002,1,False
INT_000286,CUST_001810,2023-06-12 22:00:00,phone,billing,high,8.851619137930257,1,False
INT_000287,CUST_001499,2023-06-12 23:00:00,phone,billing,low,3.7212078874149537,3,True
INT_000288,CUST_001208,2023-06-13 00:00:00,phone,technical,high,16.696670222872136,1,False
INT_000289,CUST_001152,2023-06-13 01:00:00,phone,technical,medium,34.65372600977008,4,False
INT_000290,CUST_000432,2023-06-13 02:00:00,phone,billing,low,1.4703900788724311,1,True
INT_000291,CUST_001642,2023-06-13 03:00:00,phone,onboarding,low,14.232611602208232,2,False
INT_000292,CUST_000697,2023-06-13 04:00:00,phone,onboarding,medium,0.024766040294554995,4,True
INT_000293,CUST_001447,2023-06-13 05:00:00,phone,onboarding,low,5.732431209817968,5,False
INT_000294,CUST_000229,2023-06-13 06:00:00,chat,account,high,13.78771022865158,3,True
INT_000295,CUST_000987,2023-06-13 07:00:00,chat,onboarding,low,12.731888488816878,5,False
INT_000296,CUST_001404,2023-06-13 08:00:00,chat,billing,high,27.262283254431733,4,False
INT_000297,CUST_000317,2023-06-13 09:00:00,chat,account,medium,23.50710170231344,3,False
